Dataset Blue Plot,
Eng Strain,Eng Stress(MPa)
-0.000197688,6.335386592
0.000209554,32.62416173
0.000365556,128.9029384
0.000340379,95.61391731
0.000328684,65.12865332
0.000419067,155.8733181
0.000606469,215.3998359
0.000584658,185.2622858
0.00054974,11.05718914
0.000894876,238.7353785
0.00095932,164.9500801
0.001068269,270.5645427
0.000896579,42.38016292
0.001017556,127.3143413
0.000972123,95.05004614
0.001008785,73.15822657
0.000805667,60.31966117
0.001253219,199.2313734
0.001597804,299.7003567
0.001512931,242.3172823
0.001314709,224.2375535
0.001387588,177.7081974
0.001304434,160.8027415
0.001992629,333.3186213
0.001723718,267.0387046
0.002193547,371.7717138
0.00240176,315.8992991
0.002089229,289.5217769
0.002678089,405.9491965
0.00288259,429.7577848
0.002678196,344.0242961
0.002867148,375.7959646
0.003352018,452.5367775
0.003621506,474.569682
0.003273304,400.9781977
0.003437476,421.6088752
0.003840071,495.7334488
0.003976311,521.2308251
0.003971277,454.6832257
0.004328762,550.6987524
0.004744232,576.8032412
0.004359315,486.2225322
0.00461922,518.674798
0.005064551,603.681373
0.004864618,544.30826
0.005373083,631.6548697
0.005342514,577.9949236
0.005802052,653.4837179
0.005955083,680.6906026
0.00571842,602.5938455
0.00596352,626.3890978
0.006391528,698.8725767
0.006611311,724.9039115
0.006423757,654.4837572
0.006413064,671.2087982
0.007044205,744.9481896
0.007171033,769.7114246
0.006940652,701.3872731
0.007104485,719.9236796
0.007570954,796.2287409
0.007799024,823.356359
0.007603256,749.5067697
0.007904246,775.5535606
0.008160915,846.440317
0.008308544,805.8198034
0.008686801,869.7635749
0.008528789,825.1045994
0.008871009,894.7463213
0.008813146,843.0303968
0.009365049,913.000444
0.00964483,936.61646
0.009273894,874.2727888
0.009463387,885.7413794
0.010117426,951.9008253
0.01043768,976.3095302
0.01003138,917.1381326
0.010599373,948.5348859
0.011247114,975.8147388
0.012080687,974.5370088
0.012823322,960.5485146
0.01359271,953.0871122
0.013901327,937.5667717
0.014642928,936.4602489
0.014912396,919.749683
0.015740814,916.7931366
0.01662451,911.4051064
0.017516548,910.2366942
0.018412454,910.6917229
0.0193165,912.5867418
0.020155487,915.9921088
0.021017885,922.5396687
0.021934936,930.0064813
0.022824519,937.3224248
0.023710425,945.5781518
0.024576099,951.8597947
0.025490472,960.1910165
0.02633014,963.7879928
0.027216415,968.4806248
0.028152783,972.8737679
0.029053603,977.254501
0.029893776,982.130457
0.030725416,986.3371479
0.031639439,988.2104131
0.032568306,989.3327153
0.033457085,992.0981106
0.034314067,999.4666593
0.035223229,1002.355292
0.036135129,1007.970767
0.037011239,1013.371314
0.037880287,1017.533196
0.038750712,1020.836651
0.039614833,1024.623021
0.040517515,1026.122424
0.041442604,1034.950531
0.041048322,1021.011904
0.042335584,1037.883322
0.043139954,1042.700607
0.044083432,1051.344613
0.043664433,1037.138648
0.044990573,1049.284972
0.045866824,1052.309875
0.046710597,1054.132404
0.047663643,1059.191251
0.047203668,1043.064852
0.048506399,1063.983722
0.049382138,1064.215888
0.050293295,1065.831959
0.051110323,1068.658048
0.051982395,1068.164925
0.052889016,1074.551996
0.053146264,1063.736041
0.053958331,1070.872022
0.05485187,1070.918442
0.054927411,1066.951191
0.055826243,1078.632814
0.056684319,1079.062278
0.05758809,1078.968642
0.058462258,1081.245677
0.059372767,1075.288003
0.060247448,1073.963334
0.061091302,1070.837378
0.061943793,1067.830801
0.062767344,1063.473862
0.063553634,1059.573059
0.064024528,1047.07344
0.06476032,1049.089348
0.065095521,1039.587329
0.065860124,1043.646285
0.066503806,1045.863649
